Neighborhood,Year,own_occ_rate,corp_own_rate,college,tot_pop_18plus,two_or_more_0_17,aapi_0_17,tot_pop_all,other_18plus,nursing,other_inst,black_all,hisp_0_17,tot_unit,aapi_all,military,white_18plus,two_or_more_all,correctional,other_0_17,white_0_17,hisp_18plus,aian_18plus,two_or_more_18plus,black_0_17,vacant_unit,white_all,aian_0_17,other_noninst,tot_pop_0_17,aian_all,tot_gq_pop,occ_unit,aapi_18plus,juvenile,other_all,hisp_all,black_18plus,objectid
Allston,2004,0.29,0.07,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2005,0.3,0.07,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2006,0.29,0.08,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2007,0.31,0.08,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2008,0.31,0.09,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2009,0.31,0.09,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2010,0.3,0.09,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2011,0.3,0.1,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2012,0.28,0.1,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2013,0.27,0.11,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2014,0.26,0.12,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2015,0.25,0.13,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2016,0.24,0.14,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2017,0.24,0.16,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
Allston,2018,0.23,0.17,3214,26668,179,353,28621,273,26,0,1451,586,12527,7173,0,14022,1349,0,57,612,3071,18,1170,157,787,14634,9,150,1953,27,3390,11740,6820,0,330,3657,1294,1
